0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:15:55 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:16:24 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:16:24 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:16:48 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:16:48 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:17:43 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:17:43 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:19 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:19 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:27 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:27 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:31 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:31 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:39 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:18:39 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:20:30 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:20:30 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:20:38 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:20:39 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:21:18 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:21:18 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:23:36 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 200 944
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:23:36 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:23:51 -0300] "GET /PruebaGeo/Index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:23:51 -0300] "GET /PruebaGeo/js/jquery-3.1.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Aug/2016:16:27:14 -0300] "GET /PruebaGeo/pepito.html HTTP/1.1" 200 726
